community,size,avg_internal_sim,min_internal_sim
33,44,0.7655742764472961,0.5333333611488342
11,71,0.8923944234848022,0.7333333492279053
56,82,0.7639465928077698,0.5
62,68,0.8865232467651367,0.6666666865348816
22,39,0.9352226853370667,0.7666666507720947
36,70,0.9684333801269531,0.800000011920929
48,46,0.7991626858711243,0.4333333373069763
72,41,0.8733333945274353,0.699999988079071
75,54,0.7691823840141296,0.5333333611488342
30,59,0.8893824815750122,0.699999988079071
59,43,0.7283868789672852,0.4333333373069763
66,74,0.8632110953330994,0.5666666626930237
70,95,0.7354535460472107,0.4333333373069763
74,88,0.7740857005119324,0.5666666626930237
61,78,0.8972916007041931,0.6666666865348816
53,87,0.8122071027755737,0.6000000238418579
37,69,0.8742257356643677,0.6000000238418579
19,64,1.0,1.0
7,62,0.8366296291351318,0.5666666626930237
71,72,0.8670188188552856,0.6666666865348816
47,92,0.8080824613571167,0.5333333611488342
29,48,0.8901891708374023,0.6666666865348816
54,47,0.7778600454330444,0.5
12,83,0.8268782496452332,0.5333333611488342
73,72,0.8258476853370667,0.36666667461395264
55,89,0.8556520342826843,0.6000000238418579
63,92,0.9809603095054626,0.8333333134651184
67,77,0.8687627911567688,0.6333333253860474
58,85,0.7811951637268066,0.5333333611488342
20,54,0.982948899269104,0.8666666746139526
31,47,0.8395313620567322,0.6666666865348816
0,86,0.8205562829971313,0.5333333611488342
4,35,0.7721008062362671,0.5666666626930237
40,73,0.6975900530815125,0.4000000059604645
5,67,0.801206111907959,0.5666666626930237
10,75,0.7606006264686584,0.5333333611488342
34,72,0.8521257638931274,0.6000000238418579
51,99,0.9225177764892578,0.6666666865348816
23,97,0.5992698073387146,0.1666666716337204
15,46,0.9628663063049316,0.800000011920929
18,38,1.0,1.0
69,97,0.8952176570892334,0.6333333253860474
28,72,0.8888237476348877,0.6333333253860474
2,90,0.9099291563034058,0.699999988079071
43,37,0.7007007002830505,0.46666666865348816
60,100,0.9654478430747986,0.800000011920929
64,31,0.9234407544136047,0.7666666507720947
39,74,0.7057015895843506,0.4000000059604645
1,56,0.8462554812431335,0.6000000238418579
35,33,0.9477272033691406,0.8333333134651184
14,84,0.7395868897438049,0.4000000059604645
57,75,0.7077717781066895,0.46666666865348816
32,73,0.8739218711853027,0.6333333253860474
