community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
0,200,0.959,0.924603015075377,0.5
6,200,0.9445,0.9291206030150756,0.7
7,200,0.9815,0.9647688442211056,0.6
11,200,0.988,0.9767035175879397,0.6
16,200,0.97,0.9430150753768846,0.6
19,200,0.97,0.9455276381909548,0.6
22,200,0.995,0.9901407035175879,0.8
25,200,0.9225,0.8851809045226132,0.6
26,200,0.9935,0.9873919597989949,0.8
27,200,0.9855,0.9724371859296482,0.7
31,200,0.9925,0.9851909547738695,0.8
46,200,1.0,1.0,1.0
1,199,0.9271356783919598,0.8804020100502514,0.6
5,199,0.9919597989949749,0.9844880970509112,0.8
15,198,0.956060606060606,0.9203250781930984,0.6
4,190,0.966842105263158,0.9448565859092176,0.7
40,184,0.9869565217391304,0.9752791636968403,0.8
13,172,0.925,0.8751733986128112,0.6
3,169,0.8952662721893491,0.8183431952662724,0.5
39,160,0.9975,0.9950943396226414,0.9
9,156,0.9147435897435897,0.8753101736972706,0.6
20,155,0.9361290322580645,0.8861332216170928,0.6
18,153,0.9248366013071896,0.887856897144823,0.7
2,138,0.8898550724637682,0.8333015973764943,0.5
12,136,0.9286764705882353,0.8826470588235297,0.6
54,134,0.9925373134328358,0.9860846145213781,0.9
36,88,0.9897727272727272,0.9798066875653083,0.8
29,80,0.92375,0.8749683544303799,0.5
24,79,0.9037974683544304,0.836741317753976,0.5
45,77,0.9844155844155844,0.9700615174299386,0.7
34,76,0.9355263157894738,0.8970877192982457,0.7
10,61,0.8606557377049181,0.7715846994535519,0.5
17,59,0.9288135593220339,0.8849795441262421,0.7
38,56,0.9696428571428571,0.9456493506493507,0.7
41,55,0.9,0.834882154882155,0.6
28,54,0.9796296296296296,0.9619147449336128,0.8
52,53,0.939622641509434,0.891291727140784,0.7
55,53,0.9113207547169812,0.8483309143686504,0.7
8,52,0.8961538461538462,0.8399698340874812,0.6
42,44,0.9090909090909091,0.8505285412262158,0.6
21,43,0.9255813953488372,0.8750830564784055,0.6
23,42,0.8857142857142858,0.8274099883855982,0.6
30,42,0.9142857142857143,0.8701509872241582,0.7
49,40,0.935,0.8958974358974361,0.7
14,39,0.9025641025641026,0.8558704453441296,0.5
50,38,0.9315789473684211,0.8813655761024183,0.7
37,37,0.9189189189189189,0.8681681681681682,0.6
56,36,0.9194444444444444,0.8687301587301587,0.6
33,34,0.9235294117647058,0.8734402852049911,0.6
51,34,0.8705882352941177,0.7903743315508021,0.6
47,33,0.9363636363636364,0.8875000000000001,0.7
43,27,0.9481481481481482,0.9111111111111113,0.7
32,26,0.9769230769230769,0.9563076923076923,0.7
57,21,0.9095238095238095,0.8438095238095239,0.6
35,13,0.9076923076923077,0.8564102564102566,0.8
44,10,0.88,0.8,0.6
48,10,0.85,0.7933333333333334,0.6
53,10,0.85,0.7622222222222224,0.6
58,10,0.84,0.7333333333333333,0.5
