community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
5,50,0.984,0.9697959183673469,0.8
7,50,0.99,0.9804897959183673,0.8
11,50,0.992,0.9849795918367347,0.9
20,50,0.992,0.9844897959183675,0.8
25,50,0.992,0.9841632653061225,0.8
38,50,0.992,0.9840000000000001,0.8
39,50,1.0,1.0,1.0
45,50,1.0,1.0,1.0
46,50,0.986,0.9754285714285715,0.9
55,50,0.992,0.9849795918367348,0.9
57,50,0.992,0.9844897959183674,0.8
60,50,0.964,0.9379591836734695,0.7
67,50,0.994,0.9881632653061224,0.8
68,50,0.994,0.9881632653061224,0.8
75,50,0.99,0.980326530612245,0.8
76,50,0.974,0.9517551020408164,0.7
86,50,1.0,1.0,1.0
93,50,0.986,0.9731428571428573,0.8
94,50,0.994,0.9881632653061224,0.8
97,50,0.996,0.9919999999999999,0.8
109,50,0.996,0.9919999999999999,0.8
113,50,0.988,0.9764897959183674,0.8
115,50,1.0,1.0,1.0
117,50,0.98,0.9627755102040817,0.7
122,50,1.0,1.0,1.0
126,50,0.992,0.9844897959183674,0.8
130,50,0.994,0.9881632653061224,0.8
151,50,0.984,0.9701224489795919,0.8
27,49,1.0,1.0,1.0
34,49,0.9959183673469387,0.9920068027210883,0.9
54,49,1.0,1.0,1.0
61,49,0.9428571428571428,0.9008503401360545,0.8
81,49,0.9918367346938776,0.983843537414966,0.8
84,49,1.0,1.0,1.0
92,49,0.9877551020408163,0.9780612244897959,0.9
103,49,0.9897959183673469,0.9812925170068028,0.9
146,49,0.9857142857142858,0.975,0.9
147,49,0.9857142857142858,0.9724489795918368,0.7
26,48,0.9666666666666667,0.9409574468085107,0.8
30,48,0.99375,0.988031914893617,0.9
47,48,0.975,0.9524822695035462,0.8
62,48,0.9979166666666667,0.9958333333333333,0.9
63,48,0.9625,0.9328014184397163,0.8
79,48,0.99375,0.9876773049645389,0.8
82,48,0.9958333333333333,0.9916666666666666,0.8
119,48,1.0,1.0,1.0
140,48,0.9875,0.9767730496453902,0.8
2,47,1.0,1.0,1.0
3,47,0.8957446808510638,0.82368177613321,0.6
22,47,0.997872340425532,0.9957446808510637,0.9
42,47,0.9638297872340426,0.937095282146161,0.7
52,47,0.9595744680851064,0.9291396854764108,0.8
98,47,0.9936170212765958,0.9874190564292322,0.8
110,47,0.9723404255319149,0.9485661424606846,0.8
134,47,0.9872340425531915,0.9763182238667901,0.8
12,46,0.967391304347826,0.9440579710144928,0.8
50,46,0.9782608695652174,0.9652173913043478,0.9
0,45,0.9888888888888889,0.9783838383838384,0.7
6,45,0.9666666666666667,0.9414141414141415,0.7
10,45,0.9177777777777778,0.8581818181818183,0.6
16,45,0.9933333333333333,0.9868686868686869,0.8
24,45,0.9888888888888889,0.9797979797979799,0.9
32,45,0.9466666666666667,0.9137373737373738,0.8
83,45,0.9666666666666667,0.9377777777777778,0.8
99,45,0.9866666666666667,0.9763636363636364,0.9
18,44,0.9681818181818181,0.9422832980972516,0.7
19,44,0.9681818181818181,0.9405919661733617,0.7
31,44,0.9818181818181818,0.9649048625792812,0.7
88,44,0.9886363636363636,0.9785412262156449,0.8
135,44,0.9795454545454545,0.9603594080338267,0.7
13,43,0.9627906976744186,0.9333333333333336,0.8
35,43,1.0,1.0,1.0
58,43,0.9767441860465116,0.9561461794019934,0.8
15,42,0.9738095238095238,0.9499419279907085,0.7
17,42,0.969047619047619,0.9487804878048781,0.8
29,42,0.9857142857142858,0.9723577235772358,0.8
49,42,0.95,0.9097560975609759,0.8
66,42,0.9976190476190476,0.9952380952380953,0.9
73,42,0.95,0.9085946573751454,0.7
9,41,1.0,1.0,1.0
14,41,0.9121951219512195,0.8560975609756097,0.5
36,40,0.9925,0.985,0.7
40,40,0.975,0.9525641025641025,0.8
101,40,0.9975,0.995,0.9
139,40,1.0,1.0,1.0
44,39,0.9128205128205128,0.8556005398110661,0.7
104,39,0.9717948717948718,0.9487179487179487,0.8
125,39,0.9923076923076923,0.9846153846153847,0.7
4,38,0.9552631578947368,0.924466571834993,0.8
43,38,0.9052631578947368,0.8406827880512091,0.6
107,38,1.0,1.0,1.0
37,37,0.9918918918918919,0.9840840840840842,0.8
121,37,0.9432432432432433,0.9030030030030032,0.7
78,36,0.9666666666666667,0.9377777777777779,0.8
132,36,0.9444444444444444,0.9057142857142858,0.7
90,35,0.9628571428571429,0.9327731092436975,0.6
106,35,0.9942857142857143,0.9885714285714287,0.8
28,34,0.9911764705882353,0.9834224598930482,0.9
56,34,0.9558823529411765,0.9160427807486633,0.6
71,34,0.9852941176470589,0.9727272727272728,0.8
87,34,0.9970588235294118,0.9941176470588237,0.9
59,33,0.9606060606060606,0.9507575757575759,0.9
127,33,0.9545454545454546,0.9223484848484849,0.8
33,32,0.98125,0.963709677419355,0.8
124,31,0.9870967741935484,0.975483870967742,0.8
1,30,0.9366666666666666,0.913793103448276,0.8
8,30,0.9433333333333334,0.8981609195402301,0.8
21,30,0.9366666666666666,0.905057471264368,0.6
23,30,0.8633333333333333,0.7827586206896552,0.5
41,30,0.94,0.8905747126436784,0.7
