caseid,birthyr,gender4,race,educ,region,ideo5,religpew,faminc_new,pid3,327a,327b,327d,330a,330b,330c,331a,331b,331d,332a,332b,332c,332d,332e,332f,332g,333a,333b,333c,333d,334a,334b,334c,334d,334e,334f,334g,334h,355a,355e
1241126287,B,A,B,B,C,B,A,D,A,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A
1237703171,B,A,A,B,C,C,K,E,C,A,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,B
1245222609,C,A,A,F,A,C,K,J,C,B,A,A,B,A,B,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,A,B,B,A,B,A,A,B
1239706641,C,B,A,E,B,E,A,K,B,B,B,B,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,B,B,B,B,B,B,B
1239707367,B,B,A,E,B,B,L,K,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1239155767,C,B,A,B,C,C,A,B,C,A,A,A,B,A,B,B,A,A,A,A,B,B,B,B,A,A,B,A,A,B,A,A,B,A,B,B,B,A,A
1237498721,D,B,C,D,C,A,K,B,D,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,B
1242548749,C,B,A,E,B,A,I,J,A,A,A,A,B,A,B,A,A,B,A,A,B,B,B,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A
1241067633,B,B,A,C,C,B,J,C,C,A,A,B,B,A,B,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
1237525365,B,B,A,B,B,D,L,E,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B
1250157911,C,A,A,D,C,D,A,F,B,B,B,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,A,A,B,B,B
1243711257,B,B,A,B,B,D,A,F,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,A,B,B,B,B,A,A,B,A,A,B,A,A,B
1242237073,D,B,A,A,A,C,B,C,C,A,A,A,A,B,A,B,B,A,B,B,B,A,A,B,B,B,B,B,B,A,A,B,A,A,A,A,A,B,B
1236655675,D,B,A,D,C,D,A,K,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,B,A,A,B,A,A,B
1238395021,A,B,A,B,C,D,B,C,A,A,A,A,B,A,B,A,A,A,A,A,B,A,B,B,B,A,A,A,A,B,A,A,B,A,A,B,A,A,B
1244012401,B,A,C,C,C,E,A,G,B,B,A,A,A,B,A,B,A,A,B,A,A,B,A,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1240169421,C,B,B,D,C,C,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B
1240350755,B,A,C,C,C,C,L,D,A,A,A,A,B,A,B,A,A,B,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,B,A,A,A
1236583573,B,A,B,C,B,E,A,H,B,A,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,B
1239577159,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A
1238514437,B,A,A,B,A,E,J,C,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,A,A,B,B,A,B,A,A,B,A,A,B,A,A,B
1236390527,B,A,A,B,D,A,K,B,A,A,A,A,A,A,B,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1237657397,D,A,B,E,C,A,J,H,C,A,A,A,A,A,B,B,B,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B
1241021159,B,B,A,E,D,A,B,F,A,A,A,A,B,A,B,A,A,B,A,B,B,B,A,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1255831079,B,A,A,F,D,B,I,N,A,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,B,B,A,B
1237646891,C,B,A,F,D,A,J,I,C,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1237330195,C,B,C,C,D,E,B,H,C,B,B,B,B,B,A,B,A,A,B,B,A,A,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B
1241020639,C,B,A,D,C,D,A,E,B,A,A,A,A,B,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,B,A,B,B
1239655377,D,B,D,F,B,B,K,F,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A
1236632893,B,B,A,F,D,C,K,F,C,B,A,B,A,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B
1236208691,C,A,A,C,D,C,A,K,C,B,B,A,A,B,A,B,A,A,A,B,B,A,A,B,B,B,B,B,B,B,A,A,B,B,A,A,A,B,B
1245174127,B,A,G,E,D,E,A,F,B,B,A,B,A,B,A,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B
