community,size,avg_internal_sim,min_internal_sim
68,69,0.6997442245483398,0.4333333373069763
21,83,0.912763237953186,0.699999988079071
46,49,0.9376416802406311,0.800000011920929
30,63,0.8455709218978882,0.6333333253860474
42,93,0.8801932334899902,0.6333333253860474
40,86,0.7483720779418945,0.4333333373069763
4,52,0.9175465703010559,0.7666666507720947
77,64,1.0,1.0
2,64,1.0,1.0
66,56,0.7558658123016357,0.46666666865348816
60,58,0.8021172881126404,0.5666666626930237
82,67,0.7094226479530334,0.10000000149011612
31,44,0.8100775480270386,0.5333333611488342
83,36,0.8458201289176941,0.6666666865348816
49,45,0.7219528555870056,0.46666666865348816
15,74,0.837442934513092,0.6000000238418579
69,94,0.8941203951835632,0.6666666865348816
24,84,0.9694395661354065,0.7666666507720947
38,43,0.790402352809906,0.46666666865348816
61,51,0.8030849695205688,0.5666666626930237
32,56,0.722900390625,0.5
50,94,0.7970258593559265,0.5666666626930237
37,94,0.7379165291786194,0.4333333373069763
26,53,0.8820512890815735,0.6000000238418579
74,86,0.8634929060935974,0.6333333253860474
23,93,0.8008415699005127,0.5333333611488342
64,41,0.7104877829551697,0.4000000059604645
27,75,0.8653934597969055,0.5666666626930237
10,51,0.8426666855812073,0.5333333611488342
81,87,0.731515645980835,0.4333333373069763
41,76,0.8124443888664246,0.5
25,91,0.9808058142662048,0.7666666507720947
67,57,0.7619464993476868,0.5333333611488342
79,64,0.8055225014686584,0.5333333611488342
43,64,0.8727017641067505,0.6333333253860474
8,46,0.816682755947113,0.5333333611488342
39,79,0.8734610080718994,0.6000000238418579
76,38,1.0,1.0
3,67,0.9410222172737122,0.7333333492279053
11,32,0.7209005951881409,0.5
65,56,0.7445670962333679,0.4333333373069763
44,40,0.7757692933082581,0.5
59,61,0.7295810580253601,0.5
71,64,0.7701719999313354,0.46666666865348816
54,53,0.7990807890892029,0.5333333611488342
13,46,0.8189049959182739,0.5666666626930237
12,79,0.8241047263145447,0.5
28,62,0.883148193359375,0.699999988079071
9,51,0.8781176209449768,0.6333333253860474
1,38,1.0,1.0
34,70,0.8270255327224731,0.6000000238418579
78,43,1.0,1.0
73,65,0.8485256433486938,0.6666666865348816
58,34,0.717528223991394,0.4333333373069763
16,56,0.8741775155067444,0.6666666865348816
6,85,0.8960971236228943,0.5333333611488342
53,93,0.7987845540046692,0.5
70,46,0.812850296497345,0.5666666626930237
52,78,0.6528471112251282,0.36666667461395264
35,40,0.8114957213401794,0.6000000238418579
