year,caseid,birthyr,gender4,sexuality,race,educ,comptype,votereg,inputstate,region,361,cit1,immstat,urbancity,ideo5,child18,employ,investor,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,marstat,union,unionhh,ownhome,newsint,faminc_new,milstat_1,milstat_2,milstat_3,milstat_4,healthins_1,healthins_2,healthins_3,healthins_4,healthins_5,healthins_6
24,1237400307,4,2,1,1,3,3,1,28,3,5.0,1.0,5,4,4,2,1.0,1.0,1,1,2.0,1,1,3,3,3,1,4,7,2,2,2,2,1,2,2,2,2,2
24,1237464259,2,2,1,1,2,3,3,48,3,6.0,1.0,5,2,3,2,5.0,2.0,2,1,5.0,2,1,4,3,3,1,1,3,2,2,2,1,2,1,2,2,2,2
24,1239831951,4,2,1,1,5,1,1,32,4,4.0,1.0,5,2,3,1,7.0,1.0,2,3,3.0,2,3,1,3,4,1,2,11,2,2,2,2,1,2,2,2,2,2
24,1238391153,2,2,1,2,2,1,1,6,4,6.0,1.0,5,1,3,2,5.0,2.0,1,1,1.0,1,12,5,3,3,1,1,4,2,2,2,2,2,1,2,2,2,2
24,1239619389,4,1,1,6,2,3,1,42,1,6.0,1.0,3,3,3,1,1.0,1.0,2,3,3.0,5,2,1,3,3,1,2,10,2,2,2,2,1,2,2,2,2,2
24,1239677341,3,1,1,1,3,1,1,42,1,6.0,1.0,5,1,3,2,5.0,2.0,2,2,6.0,5,12,1,3,3,2,1,3,2,2,1,2,2,2,2,2,2,1
24,1237561619,2,2,5,1,4,3,1,48,3,5.0,1.0,5,2,4,2,2.0,2.0,2,3,5.0,1,1,3,3,3,2,2,4,2,2,2,2,2,1,2,2,2,2
24,1246439677,2,1,1,2,3,3,1,39,2,4.0,1.0,5,1,1,2,5.0,2.0,2,4,6.0,7,11,3,2,2,1,1,6,2,2,2,1,2,1,2,2,2,2
24,1245946359,3,1,1,1,5,3,1,48,3,6.0,1.0,3,2,5,1,1.0,1.0,2,1,5.0,6,2,3,3,3,1,1,9,2,2,2,2,1,2,2,2,2,2
24,1244579131,3,1,1,1,5,3,1,19,2,6.0,1.0,5,4,5,1,1.0,1.0,1,1,3.0,4,1,5,2,2,2,1,4,2,2,2,2,1,2,2,2,2,2
24,1237467169,4,2,1,1,4,1,1,1,3,6.0,1.0,5,1,3,1,7.0,1.0,2,2,5.0,3,1,1,3,3,1,3,6,2,1,1,1,2,1,2,2,2,2
24,1255945721,3,1,3,1,6,3,1,8,4,6.0,1.0,5,2,1,2,1.0,1.0,2,4,6.0,7,9,5,3,3,1,2,9,2,2,2,1,1,2,2,2,2,2
24,1241126287,2,1,1,2,2,1,1,48,3,6.0,1.0,5,1,2,2,5.0,2.0,2,4,6.0,2,1,3,3,3,1,1,4,2,2,2,2,2,1,2,2,2,2
24,1237703171,2,1,1,1,2,3,1,21,3,6.0,1.0,5,4,3,2,5.0,2.0,2,3,6.0,7,11,1,1,3,1,3,5,2,2,2,2,2,1,2,2,2,2
24,1241743255,2,1,1,6,5,2,1,6,4,6.0,1.0,5,3,3,1,5.0,2.0,2,1,4.0,1,1,4,2,2,2,1,97,2,2,2,1,2,1,2,2,2,2
24,1245222609,3,1,1,1,6,2,1,9,1,6.0,1.0,5,2,3,2,1.0,1.0,2,4,6.0,7,11,6,2,3,1,1,10,2,2,2,1,1,2,2,2,2,2
24,1239706641,3,2,1,1,5,1,1,18,2,3.0,1.0,5,4,5,2,2.0,1.0,1,1,2.0,1,1,1,3,3,1,1,11,2,1,2,1,1,2,2,2,2,2
24,1239707367,2,2,1,1,5,2,1,26,2,6.0,1.0,5,4,2,2,5.0,1.0,2,3,6.0,8,12,4,2,3,1,1,11,2,2,2,1,2,1,2,2,2,2
24,1239155767,3,2,1,1,2,3,1,47,3,6.0,1.0,5,2,3,2,2.0,2.0,1,1,5.0,2,1,5,3,3,2,1,2,2,2,2,1,2,2,2,2,2,1
24,1237498721,4,2,1,3,4,1,1,48,3,5.0,1.0,3,1,1,2,2.0,2.0,2,4,5.0,6,11,5,3,3,1,1,2,2,2,2,2,2,2,2,1,2,2
24,1242548749,3,2,1,1,5,1,1,39,2,6.0,1.0,5,2,1,2,6.0,1.0,2,4,6.0,7,9,1,3,3,1,1,10,2,2,2,1,1,2,2,2,2,2
24,1241067633,2,2,1,1,3,1,1,5,3,5.0,1.0,5,4,2,2,5.0,2.0,2,3,4.0,3,10,3,2,3,2,1,3,2,2,2,1,2,1,2,2,2,2
24,1237525365,2,2,1,1,2,3,1,55,2,6.0,1.0,5,4,4,2,1.0,2.0,1,1,4.0,1,12,1,3,3,1,1,5,2,2,2,1,2,1,2,2,2,2
24,1250157911,3,1,1,1,4,1,1,48,3,6.0,1.0,5,2,4,1,1.0,1.0,1,1,2.0,3,1,1,3,3,1,1,6,2,1,2,1,1,2,2,2,2,2
24,1243711257,2,2,1,1,2,2,1,27,2,4.0,1.0,5,1,4,2,7.0,1.0,2,2,4.0,1,1,1,3,3,1,2,6,2,2,2,1,1,2,2,2,2,2
24,1242237073,4,2,4,1,1,3,1,25,1,6.0,1.0,5,1,3,2,6.0,2.0,2,1,1.0,1,2,5,3,3,2,1,3,2,2,2,2,2,1,2,2,2,2
24,1236655675,4,2,1,1,4,2,1,54,3,6.0,1.0,5,4,4,2,1.0,2.0,1,1,2.0,3,1,1,3,3,1,2,11,2,2,2,1,1,2,2,2,2,2
24,1238395021,1,2,1,1,2,3,1,48,3,6.0,1.0,3,1,4,2,5.0,2.0,2,3,6.0,6,2,4,3,3,1,1,3,2,2,2,1,2,1,2,2,2,2
24,1244012401,2,1,1,3,3,1,1,12,3,5.0,1.0,3,2,5,2,5.0,2.0,2,4,6.0,6,1,3,2,3,1,1,7,2,2,2,1,2,1,2,2,2,2
24,1240169421,3,2,1,2,4,3,1,47,3,6.0,1.0,5,1,3,2,4.0,2.0,1,1,4.0,1,1,5,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1
24,1240350755,2,1,1,3,3,1,1,12,3,6.0,1.0,3,1,3,2,5.0,2.0,2,1,5.0,1,12,1,2,3,1,3,4,2,2,1,1,2,1,2,2,2,2
24,1236583573,2,1,1,2,3,3,1,17,2,6.0,1.0,4,3,5,2,1.0,1.0,1,1,3.0,2,1,1,2,3,1,1,8,2,2,1,2,1,2,2,2,2,2
24,1239577159,1,1,1,1,2,3,1,42,1,6.0,1.0,3,2,2,2,5.0,2.0,2,2,6.0,7,2,3,3,3,2,1,2,2,2,1,2,2,2,2,1,2,2
24,1238514437,2,1,1,1,2,3,1,42,1,4.0,1.0,5,2,5,2,5.0,2.0,2,1,5.0,5,10,1,3,1,2,4,3,2,2,2,1,2,1,2,2,2,2
24,1236390527,2,1,1,1,2,1,1,4,4,6.0,1.0,5,1,1,2,6.0,2.0,2,4,6.0,6,11,5,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2
24,1237657397,4,1,4,2,5,1,1,51,3,6.0,1.0,5,4,1,2,2.0,1.0,2,4,6.0,7,10,5,3,1,3,1,8,2,2,2,1,1,2,2,2,2,2
24,1241021159,2,2,1,1,5,1,1,6,4,6.0,1.0,5,2,1,2,2.0,2.0,2,3,6.0,1,2,5,3,3,1,2,6,2,2,2,2,2,1,2,2,2,2
24,1255831079,2,1,1,1,6,3,1,8,4,6.0,1.0,1,4,2,2,1.0,1.0,2,4,6.0,7,9,1,3,3,1,1,14,2,2,2,2,1,2,2,2,2,2
24,1237646891,3,2,4,1,6,1,1,6,4,6.0,1.0,5,1,1,2,1.0,1.0,2,4,6.0,6,10,4,1,4,1,2,9,2,2,2,1,1,2,2,2,2,2
24,1237330195,3,2,1,3,3,1,2,6,4,6.0,2.0,2,2,5,1,7.0,2.0,1,3,4.0,2,2,1,3,3,1,4,8,2,2,2,2,1,2,2,2,2,2
24,1241020639,3,2,1,1,4,3,1,22,3,5.0,1.0,3,2,4,2,1.0,2.0,2,2,6.0,3,1,3,3,3,1,3,5,2,2,2,2,1,2,2,2,2,2
24,1244450575,3,1,1,6,4,3,1,12,3,5.0,1.0,5,1,6,2,6.0,1.0,2,3,6.0,3,11,3,3,3,2,4,9,2,2,2,2,2,1,2,2,2,2
