community,size,avg_internal_sim,min_internal_sim
60,47,0.8923219442367554,0.6333333253860474
75,79,0.8990370631217957,0.699999988079071
32,63,0.7020310759544373,0.36666667461395264
5,54,1.0,1.0
24,64,0.6306382417678833,0.1666666716337204
47,69,0.8849673271179199,0.6666666865348816
80,86,0.7998176217079163,0.5333333611488342
39,51,0.8257778286933899,0.6000000238418579
38,91,0.9313634037971497,0.6333333253860474
37,39,0.872154712677002,0.6666666865348816
61,30,0.7722605466842651,0.5
28,80,0.769040048122406,0.5
48,74,0.8562631607055664,0.6333333253860474
54,46,0.8038003444671631,0.6000000238418579
41,44,0.7446088194847107,0.5333333611488342
77,59,0.7645041942596436,0.5333333611488342
85,74,0.7970010638237,0.5666666626930237
19,45,0.884377121925354,0.6666666865348816
8,100,0.9563232064247131,0.7666666507720947
74,86,0.9149931073188782,0.6666666865348816
64,83,0.8314623832702637,0.5
21,57,0.8694654107093811,0.699999988079071
20,89,0.834354817867279,0.5666666626930237
40,73,0.7601217031478882,0.5
10,48,0.8629728555679321,0.6000000238418579
84,67,0.7860093712806702,0.5333333611488342
83,50,0.6980408430099487,0.4333333373069763
58,71,0.8692689538002014,0.6000000238418579
36,73,0.9096144437789917,0.5666666626930237
18,61,0.8590892553329468,0.6333333253860474
25,99,0.8848759531974792,0.6333333253860474
72,63,0.6880696415901184,0.3333333432674408
16,34,0.7471182346343994,0.5
56,69,0.7212276458740234,0.4333333373069763
44,60,0.8531261682510376,0.6666666865348816
17,66,0.8441802859306335,0.6666666865348816
55,58,0.8022383451461792,0.5666666626930237
45,34,0.7966132164001465,0.6000000238418579
62,51,0.8717386722564697,0.699999988079071
79,69,0.7050866484642029,0.4333333373069763
76,64,0.7107473611831665,0.4333333373069763
0,90,0.8077902793884277,0.5666666626930237
12,79,0.958411693572998,0.7666666507720947
42,51,0.7367842793464661,0.4333333373069763
33,71,0.7169416546821594,0.46666666865348816
69,50,0.8374693989753723,0.6666666865348816
26,95,0.8457783460617065,0.6333333253860474
1,77,0.8760309815406799,0.6666666865348816
49,50,0.7850340008735657,0.5333333611488342
66,96,0.9739692807197571,0.800000011920929
11,84,0.9178427457809448,0.7666666507720947
51,87,0.7864741683006287,0.5
73,56,0.8667749166488647,0.6666666865348816
23,39,0.7754385471343994,0.5666666626930237
6,80,1.0,1.0
46,42,0.8861401677131653,0.6333333253860474
2,48,0.832180917263031,0.6000000238418579
53,67,0.7926730513572693,0.5333333611488342
13,35,0.9571988582611084,0.8666666746139526
52,54,0.7214768528938293,0.5
