,caseid,year__mode_match,pid3__mode_match,300_1__mode_match,300_2__mode_match,300_3__mode_match,300_4__mode_match,302__mode_match,303__mode_match,305_1__mode_match,305_2__mode_match,305_3__mode_match,305_4__mode_match,305_5__mode_match,305_6__mode_match,305_7__mode_match,305_9__mode_match,305_10__mode_match,305_11__mode_match,305_12__mode_match,305_13__mode_match,307__mode_match,309e__mode_match,309dx_1__mode_match,309dx_2__mode_match,309dx_3__mode_match,309dx_4__mode_match,309dx_5__mode_match,309dx_6__mode_match,309dx_7__mode_match,309dx_8__mode_match,310a__mode_match,310b__mode_match,320a__mode_match,320b__mode_match,320c__mode_match,327a__mode_match,327b__mode_match,327d__mode_match,330a__mode_match,330b__mode_match,330c__mode_match,331a__mode_match,331b__mode_match,331d__mode_match,332a__mode_match,332b__mode_match,332c__mode_match,332d__mode_match,332e__mode_match,332f__mode_match,332g__mode_match,333a__mode_match,333b__mode_match,333c__mode_match,333d__mode_match,334a__mode_match,334b__mode_match,334c__mode_match,334d__mode_match,334e__mode_match,334f__mode_match,334g__mode_match,334h__mode_match,355a__mode_match,355e__mode_match,363__mode_match,overall_mode_match_mean
38,1237561619,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,,False,True,True,True,True,,True,True,True,True,True,True,False,True,False,,True,True,0.8412698412698413
39,1246439677,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,False,False,True,True,True,False,False,True,True,False,True,,,False,True,False,False,True,True,False,True,False,True,True,0.7049180327868853
40,1245946359,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,,True,False,,True,False,False,False,,,False,True,False,True,True,True,True,False,False,True,True,0.6612903225806451
41,1244579131,True,,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,,True,False,False,True,True,True,,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,0.6349206349206349
42,1237467169,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,,False,False,True,True,True,False,False,True,True,False,True,False,False,False,True,True,True,False,True,,,False,True,True,False,False,True,True,False,True,True,False,False,0.6666666666666666
43,1255945721,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,,True,True,True,True,False,False,True,True,False,True,True,False,True,0.71875
44,1241126287,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,,True,True,True,True,False,True,True,True,False,,True,,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,0.7936507936507936
45,1237703171,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,,False,True,True,True,False,False,False,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,0.75
46,1241743255,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,False,True,True,,True,True,False,False,True,False,True,True,True,True,True,True,,True,True,True,True,False,False,True,True,True,True,True,0.746031746031746
47,1245222609,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,False,False,0.7384615384615385
48,1239706641,True,,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,,True,True,True,True,True,True,False,True,True,True,False,True,,False,True,True,True,False,True,True,True,True,True,True,0.7258064516129032
49,1239707367,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False,True,0.828125
50,1239155767,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,,False,True,True,False,,,False,True,True,False,True,False,,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,,False,True,0.6557377049180327
51,1237498721,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,0.8636363636363636
52,1242548749,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,0.8153846153846154
53,1241067633,True,False,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,,,True,,True,True,True,True,True,True,False,True,True,True,False,True,,True,True,0.7213114754098361
54,1237525365,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,,True,True,True,False,False,True,True,False,,True,True,,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,0.6984126984126984
55,1250157911,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,,True,False,False,True,False,False,False,,,True,True,False,True,False,True,False,False,False,True,True,0.6349206349206349
56,1243711257,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,0.625
57,1242237073,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,0.6515151515151515
