,caseid,year__match_rate,pid3__match_rate,300_1__match_rate,300_2__match_rate,300_3__match_rate,300_4__match_rate,302__match_rate,303__match_rate,305_1__match_rate,305_2__match_rate,305_3__match_rate,305_4__match_rate,305_5__match_rate,305_6__match_rate,305_7__match_rate,305_9__match_rate,305_10__match_rate,305_11__match_rate,305_12__match_rate,305_13__match_rate,307__match_rate,309e__match_rate,309dx_1__match_rate,309dx_2__match_rate,309dx_3__match_rate,309dx_4__match_rate,309dx_5__match_rate,309dx_6__match_rate,309dx_7__match_rate,309dx_8__match_rate,310a__match_rate,310b__match_rate,320a__match_rate,320b__match_rate,320c__match_rate,327a__match_rate,327b__match_rate,327d__match_rate,330a__match_rate,330b__match_rate,330c__match_rate,331a__match_rate,331b__match_rate,331d__match_rate,332a__match_rate,332b__match_rate,332c__match_rate,332d__match_rate,332e__match_rate,332f__match_rate,332g__match_rate,333a__match_rate,333b__match_rate,333c__match_rate,333d__match_rate,334a__match_rate,334b__match_rate,334c__match_rate,334d__match_rate,334e__match_rate,334f__match_rate,334g__match_rate,334h__match_rate,355a__match_rate,355e__match_rate,363__match_rate,overall_match_rate_mean
0,1249937987,1.0,0.4,0.8,0.8,0.6,1.0,0.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.8,0.4,0.0,0.6,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.2,0.4,0.6,0.4,1.0,1.0,0.8,0.4,1.0,1.0,0.8,0.8,0.8,1.0,0.8,0.8,1.0,1.0,1.0,0.8,0.6,0.6,0.4,0.6,1.0,0.4,0.6,0.6,0.8,0.4,0.8,0.8,0.8,1.0,0.7727272727272727
1,1244727923,1.0,0.6,0.8,0.6,0.6,0.4,0.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,0.4,0.2,1.0,0.0,0.6,0.4,0.8,0.6,1.0,1.0,1.0,0.8,1.0,0.6,0.6,0.6,0.6,0.6,0.8,1.0,0.8,0.2,0.2,1.0,0.8,0.4,0.6,0.8,0.8,0.6,1.0,1.0,1.0,0.6,0.8,1.0,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.4,1.0,0.6,0.6,0.0,0.7151515151515152
2,1242475831,1.0,0.2,0.2,0.6,0.6,0.6,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.0,1.0,1.0,0.6,0.4,0.4,0.8,0.2,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.8,0.2,0.2,0.8,0.8,0.6,0.2,0.4,0.4,0.4,0.0,0.2,0.8,0.8,0.8,0.6,0.8,1.0,0.8,0.4,0.4,0.4,0.2,0.6,1.0,0.2,0.0,0.6,0.8,0.6,0.6,0.4,0.8,0.4,0.6060606060606061
3,1245012269,1.0,0.6,0.8,0.0,0.0,1.0,0.0,0.6,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.6,0.0,1.0,1.0,0.2,0.2,0.2,0.8,0.4,1.0,1.0,1.0,1.0,0.6,0.8,1.0,0.4,0.4,0.2,0.6,0.8,0.6,0.4,0.8,0.6,0.6,0.0,0.2,0.8,0.6,1.0,0.8,1.0,1.0,0.4,0.4,0.6,0.6,0.6,0.8,1.0,1.0,1.0,0.8,0.6,0.6,0.8,0.6,0.6,0.0,0.6636363636363636
4,1241022359,1.0,0.6,0.4,0.4,0.6,0.8,0.2,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.4,0.6,0.8,1.0,0.0,0.4,0.4,1.0,0.2,1.0,1.0,1.0,1.0,0.6,0.8,0.8,0.6,0.6,0.8,0.8,1.0,0.8,0.8,0.8,1.0,0.8,0.4,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.4,0.8,0.8,0.8,0.2,0.6,1.0,0.6,0.4,1.0,0.8,0.6,0.8,0.8,0.6,0.6,0.7363636363636364
5,1239356641,1.0,0.0,0.4,0.8,0.8,1.0,0.2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.4,0.2,0.6,0.6,0.8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,1.0,0.4,0.4,0.8,0.8,0.6,0.2,0.6,0.6,1.0,0.8,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.4,0.6,0.4,0.4,0.2,1.0,0.0,1.0,0.6,1.0,0.8,1.0,0.6,0.8,0.0,0.6575757575757575
6,1236207023,1.0,0.6,0.0,0.4,0.4,0.8,0.2,0.4,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.6,0.4,1.0,0.0,0.2,0.4,0.2,0.8,1.0,1.0,1.0,1.0,0.8,0.6,0.6,0.6,0.2,1.0,0.8,1.0,0.6,0.4,0.8,0.8,0.6,0.2,0.8,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.8,0.6,0.8,0.8,0.8,1.0,0.6,0.4,0.6,0.8,0.6,0.8,0.8,0.6,0.4,0.712121212121212
7,1244526205,1.0,0.6,1.0,0.6,1.0,0.6,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,0.8,1.0,0.4,1.0,1.0,1.0,1.0,0.6,0.2,0.0,0.8,0.2,0.0,0.2,1.0,0.6,0.6,0.4,0.6,0.6,1.0,0.2,0.4,0.2,0.6,0.6,0.6,0.8,0.4,0.6,0.6,0.8,0.6,0.4,1.0,0.8,1.0,0.8,0.8,0.4,0.4,0.4,1.0,0.0,0.6636363636363636
8,1232663321,1.0,0.2,0.8,0.6,0.4,0.6,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.8,1.0,0.6,0.4,0.4,0.8,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.2,0.0,0.2,1.0,1.0,0.4,0.4,0.4,0.4,1.0,0.2,0.6,0.4,0.4,0.8,0.4,1.0,0.6,0.6,0.4,0.4,0.6,0.2,1.0,0.0,0.0,0.4,0.8,0.4,0.6,0.2,0.2,0.0,0.6060606060606061
9,1245162103,1.0,0.8,1.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8,0.4,0.4,0.6,0.4,1.0,1.0,1.0,1.0,0.8,0.8,0.0,1.0,0.2,0.4,0.6,0.0,0.6,0.8,0.4,0.4,0.8,1.0,1.0,1.0,0.2,0.8,0.8,1.0,0.0,0.4,0.4,0.4,0.8,0.8,0.4,1.0,1.0,1.0,0.4,0.0,0.8,0.8,0.8,0.8,0.8,0.7
