,caseid,year__match_rate,pid3__match_rate,300_1__match_rate,300_2__match_rate,300_3__match_rate,300_4__match_rate,302__match_rate,303__match_rate,305_1__match_rate,305_2__match_rate,305_3__match_rate,305_4__match_rate,305_5__match_rate,305_6__match_rate,305_7__match_rate,305_9__match_rate,305_10__match_rate,305_11__match_rate,305_12__match_rate,305_13__match_rate,307__match_rate,309e__match_rate,309dx_1__match_rate,309dx_2__match_rate,309dx_3__match_rate,309dx_4__match_rate,309dx_5__match_rate,309dx_6__match_rate,309dx_7__match_rate,309dx_8__match_rate,310a__match_rate,310b__match_rate,320a__match_rate,320b__match_rate,320c__match_rate,327a__match_rate,327b__match_rate,327d__match_rate,330a__match_rate,330b__match_rate,330c__match_rate,331a__match_rate,331b__match_rate,331d__match_rate,332a__match_rate,332b__match_rate,332c__match_rate,332d__match_rate,332e__match_rate,332f__match_rate,332g__match_rate,333a__match_rate,333b__match_rate,333c__match_rate,333d__match_rate,334a__match_rate,334b__match_rate,334c__match_rate,334d__match_rate,334e__match_rate,334f__match_rate,334g__match_rate,334h__match_rate,355a__match_rate,355e__match_rate,363__match_rate,overall_match_rate_mean
1156,1238817065,1.0,0.2,0.16,0.44,0.48,0.68,0.4,0.2,1.0,1.0,1.0,1.0,1.0,0.92,0.84,1.0,0.92,0.56,0.84,1.0,0.32,0.36,0.8,0.88,0.4,0.96,0.88,0.96,0.96,0.72,0.68,0.08,0.24,0.24,0.36,0.56,0.88,0.4,0.48,0.6666666666666666,0.72,0.68,0.48,0.44,0.48,0.36,0.68,0.56,0.52,0.92,0.6,0.8,0.64,0.44,0.64,0.12,0.96,0.4,0.64,0.8,0.84,0.44,0.72,0.625,0.75,0.52,0.6400252525252526
1157,1242545467,1.0,0.28,0.68,0.36,0.92,0.64,0.32,0.08333333333333333,0.96,0.92,1.0,0.96,1.0,1.0,0.04,1.0,0.92,0.48,0.96,0.96,0.56,0.16,0.8,0.32,0.52,1.0,0.88,1.0,0.92,0.84,0.72,0.8,0.08,0.12,0.52,0.52,0.96,0.52,0.6,0.4,0.44,0.64,0.8,0.56,0.6,0.56,0.28,0.68,0.52,0.88,0.6,0.4,0.48,0.52,0.32,0.52,1.0,0.48,0.76,0.24,0.8,0.48,0.24,0.6,0.6,0.76,0.6285353535353535
1158,1237565177,1.0,0.28,0.72,0.8,0.4,0.8,0.36,0.64,1.0,0.96,1.0,0.96,0.96,1.0,1.0,0.92,0.84,0.72,0.92,1.0,0.16,0.44,0.4,0.88,0.56,0.96,0.88,1.0,1.0,0.96,0.76,0.92,0.44,0.12,0.12,0.68,0.96,0.6,0.44,0.72,0.8,0.4,0.28,0.44,0.6,0.36,0.32,0.48,0.48,0.96,0.4,0.6,0.4,0.48,0.52,0.52,0.96,0.44,0.72,0.72,0.68,0.28,0.52,0.52,0.16,0.44,0.6478787878787877
1159,1233494219,1.0,0.52,0.6,0.8,0.6,0.24,0.56,0.16,1.0,0.92,1.0,0.96,1.0,1.0,1.0,0.96,0.28,0.76,0.88,0.96,0.04,0.32,0.36,0.8,0.44,0.96,0.92,1.0,1.0,0.92,0.84,0.92,0.68,0.2,0.28,0.6,0.92,0.68,0.64,0.84,0.72,0.76,0.4,0.64,0.68,0.68,0.44,0.6,0.72,0.88,0.2,0.72,0.68,0.68,0.68,0.8,0.92,0.4,0.16,0.6,0.8,0.56,0.64,0.68,0.48,0.0,0.6678787878787877
1160,1239606561,1.0,0.48,0.72,0.68,0.4,0.68,0.56,0.16,0.96,0.96,1.0,0.92,1.0,1.0,0.96,1.0,0.88,0.72,0.84,0.92,0.28,0.44,0.36,0.84,0.44,1.0,1.0,1.0,0.96,0.88,0.88,0.92,0.64,0.3333333333333333,0.52,0.64,0.96,0.68,0.6,0.72,0.8,0.6,0.56,0.6,0.72,0.76,0.56,0.68,0.64,1.0,0.56,0.76,0.76,0.68,0.8,0.72,0.88,0.68,0.56,0.76,0.68,0.6,0.72,0.68,0.4,0.64,0.7232323232323231
1161,1237500737,1.0,0.2,0.24,0.72,0.4,0.68,0.08,0.4,0.92,0.92,1.0,1.0,1.0,1.0,0.96,1.0,0.04,0.6,0.76,0.96,0.5833333333333334,0.5416666666666666,0.32,0.8,0.32,0.92,0.84,0.88,0.8,0.84,0.8,0.88,0.28,0.36,0.5,0.44,0.12,0.36,0.48,0.4,0.68,0.68,0.52,0.64,0.4,0.44,0.56,0.52,0.56,0.76,0.52,0.36,0.36,0.44,0.24,0.84,0.88,0.6,0.64,0.24,0.68,0.48,0.76,0.4,0.52,0.72,0.6028030303030304
1162,1249920669,1.0,0.36,0.96,0.4,0.56,0.8,0.72,0.12,1.0,0.88,0.92,1.0,1.0,0.92,0.08,1.0,0.84,0.64,0.76,0.92,0.0,0.04,0.72,0.12,0.56,1.0,0.12,0.96,0.96,0.76,0.16,0.8,0.76,0.4,0.08,0.72,0.92,0.72,0.4,0.72,0.72,0.68,0.56,0.68,0.72,0.72,0.44,0.72,0.76,0.92,0.68,0.92,0.88,0.8,0.92,0.8,0.96,0.8,0.44,0.76,0.76,0.56,0.84,0.84,0.48,0.24,0.6727272727272726
1163,1234926137,1.0,0.24,0.84,0.8,0.72,0.64,0.56,0.6,0.96,0.88,1.0,0.92,1.0,1.0,0.92,0.96,0.2,0.68,0.92,1.0,0.0,0.28,0.64,0.88,0.56,0.96,0.8,0.92,0.92,0.12,0.76,0.76,0.48,0.24,0.4,0.4583333333333333,0.9166666666666666,0.4,0.6,0.6,0.48,0.6,0.28,0.6,0.48,0.48,0.28,0.52,0.48,0.88,0.4,0.6,0.48,0.44,0.64,0.84,0.92,0.4,0.76,0.84,0.88,0.64,0.88,0.52,0.28,0.84,0.6511363636363637
1164,1238625561,1.0,0.24,0.96,0.28,0.48,0.8,0.04,0.52,0.96,0.84,1.0,0.96,1.0,1.0,0.96,1.0,0.76,0.24,0.8,1.0,0.36,0.36,0.76,0.24,0.56,1.0,0.92,0.96,0.92,0.84,0.84,0.8,0.64,0.32,0.44,0.36,0.92,0.4,0.52,0.24,0.4,0.24,0.56,0.72,0.56,0.52,0.44,0.36,0.6,0.84,0.68,0.24,0.24,0.4,0.24,0.32,0.92,0.32,0.4,0.12,0.24,0.36,0.24,0.625,0.76,0.6,0.5937121212121212
1165,1240461835,1.0,0.32,0.68,0.32,0.52,0.76,0.08,0.56,0.96,0.92,1.0,1.0,1.0,1.0,0.96,0.96,0.08,0.6,1.0,0.88,0.64,0.28,0.68,0.04,0.56,1.0,0.96,1.0,1.0,0.88,0.96,0.96,0.32,0.36,0.48,0.52,0.04,0.44,0.8,0.48,0.44,0.6,0.64,0.52,0.44,0.64,0.48,0.4,0.48,0.04,0.68,0.4,0.48,0.48,0.36,0.32,0.88,0.44,0.72,0.36,0.16,0.44,0.32,0.44,0.56,0.72,0.5975757575757575
1166,1238915397,1.0,0.08,0.72,0.56,0.56,0.64,0.28,0.28,1.0,0.92,1.0,0.96,1.0,1.0,0.96,1.0,0.08,0.68,0.72,0.96,0.2,0.44,0.64,0.88,0.32,1.0,0.88,1.0,0.96,0.88,0.8,0.84,0.36,0.12,0.16,0.52,0.84,0.44,0.64,0.44,0.4,0.8,0.6,0.56,0.48,0.48,0.6,0.52,0.68,0.72,0.64,0.36,0.4,0.4,0.64,0.76,0.96,0.48,0.6,0.72,0.68,0.6,0.72,0.375,0.5833333333333334,0.2,0.6320959595959597
1167,1249583963,1.0,0.28,0.84,0.68,0.56,0.44,0.0,0.6,0.96,0.96,1.0,1.0,1.0,1.0,0.96,0.0,0.88,0.36,0.76,0.88,0.2,0.36,0.48,0.84,0.48,1.0,1.0,0.96,1.0,1.0,0.88,0.96,0.04,0.28,0.4,0.4,0.96,0.28,0.52,0.2,0.28,0.64,0.48,0.36,0.32,0.68,0.64,0.28,0.28,0.08,0.6,0.16,0.2,0.8,0.32,0.68,0.96,0.6,0.64,0.72,0.8,0.68,0.8,0.25,0.56,0.6,0.6031818181818184
