community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
3,100,0.77,0.6705252525252525,0.15000000000000002
5,100,0.8320000000000001,0.7458585858585859,0.19999999999999996
6,100,0.7805,0.6734444444444444,0.15000000000000002
8,100,0.7795000000000001,0.6727979797979798,0.09999999999999998
11,100,0.7955,0.6915454545454545,0.09999999999999998
13,100,0.777,0.6749696969696969,0.19999999999999996
30,100,0.888,0.8171515151515151,0.19999999999999996
40,100,0.8554999999999999,0.7891414141414143,0.35
60,100,0.8919999999999999,0.8301616161616162,0.4
61,100,0.7545,0.6412828282828282,0.09999999999999998
65,100,0.854,0.7856161616161615,0.4
75,100,0.878,0.8081616161616161,0.4
9,99,0.795959595959596,0.7149866007008865,0.19999999999999996
10,99,0.805050505050505,0.7189548546691403,0.30000000000000004
15,99,0.7212121212121212,0.6285920428777572,0.15000000000000002
16,99,0.7787878787878788,0.6770356627499485,0.15000000000000002
22,99,0.7843434343434343,0.6836528550814265,0.19999999999999996
25,99,0.8262626262626263,0.7536590393733251,0.30000000000000004
27,99,0.7469696969696971,0.636178107606679,0.09999999999999998
36,99,0.7535353535353536,0.6414965986394557,0.09999999999999998
51,99,0.8621212121212121,0.7884147598433312,0.30000000000000004
62,99,0.9111111111111111,0.8522160379303235,0.5
24,98,0.7693877551020408,0.65665895224069,0.09999999999999998
43,98,0.7306122448979592,0.6139911634756996,0.050000000000000044
4,97,0.8211340206185567,0.7333333333333333,0.09999999999999998
14,97,0.6932989690721649,0.5989046391752578,0.15000000000000002
7,96,0.8807291666666667,0.8087171052631579,0.19999999999999996
26,96,0.6697916666666668,0.5818421052631578,0.09999999999999998
39,95,0.7510526315789474,0.6390705487122059,0.09999999999999998
48,95,0.7778947368421052,0.6756103023516237,0.19999999999999996
50,93,0.8424731182795698,0.7791958859280037,0.35
1,92,0.8266304347826087,0.7373745819397993,0.19999999999999996
69,83,0.7475903614457831,0.6421686746987952,0.09999999999999998
12,78,0.8288461538461538,0.7416083916083915,0.30000000000000004
76,73,0.8513698630136987,0.7800228310502283,0.35
53,72,0.8013888888888889,0.7026212832550861,0.19999999999999996
49,71,0.8880281690140845,0.8214486921529175,0.4
72,71,0.8669014084507042,0.7842655935613683,0.19999999999999996
35,70,0.8507142857142858,0.7743064182194617,0.35
44,68,0.7558823529411764,0.6492537313432836,0.15000000000000002
32,67,0.8216417910447761,0.7262777023971052,0.25
0,65,0.7261538461538461,0.6192307692307693,0.15000000000000002
46,65,0.7023076923076923,0.6002403846153846,0.15000000000000002
94,65,0.7823076923076924,0.6786057692307692,0.19999999999999996
29,64,0.82421875,0.7377728174603174,0.35
57,64,0.64296875,0.5656994047619047,0.15000000000000002
70,64,0.81796875,0.7366815476190477,0.15000000000000002
20,62,0.7830645161290323,0.6925700687466949,0.30000000000000004
33,62,0.8782258064516129,0.8017186673717609,0.44999999999999996
37,59,0.7118644067796609,0.6189947399181766,0.15000000000000002
54,57,0.6675438596491228,0.5857769423558897,0.09999999999999998
77,57,0.7736842105263158,0.6712406015037594,0.19999999999999996
68,56,0.7785714285714286,0.6968181818181818,0.30000000000000004
47,54,0.712037037037037,0.6323200559049615,0.19999999999999996
38,53,0.6726415094339624,0.5899129172714078,0.09999999999999998
52,53,0.6877358490566038,0.5970246734397678,0.19999999999999996
63,52,0.8961538461538462,0.8220965309200603,0.19999999999999996
80,49,0.8387755102040817,0.7594387755102041,0.19999999999999996
92,49,0.8051020408163265,0.7187925170068027,0.4
59,48,0.8302083333333333,0.7517287234042553,0.35
55,47,0.6819148936170214,0.6013876040703052,0.19999999999999996
84,47,0.7957446808510639,0.6972247918593895,0.25
86,47,0.8180851063829787,0.7464384828862164,0.30000000000000004
91,47,0.8521276595744681,0.7717853839037927,0.35
17,46,0.8402173913043478,0.7492270531400966,0.19999999999999996
42,46,0.7032608695652174,0.612512077294686,0.19999999999999996
88,46,0.6695652173913043,0.5863768115942029,0.19999999999999996
2,45,0.6888888888888889,0.5976767676767677,0.19999999999999996
19,45,0.7944444444444444,0.7046464646464646,0.25
28,43,0.7023255813953488,0.5921373200442969,0.15000000000000002
81,43,0.8209302325581396,0.7305647840531562,0.25
85,40,0.75625,0.6595512820512821,0.25
87,38,0.861842105263158,0.7810099573257467,0.25
82,37,0.731081081081081,0.6254504504504503,0.19999999999999996
64,35,0.7414285714285713,0.6475630252100839,0.25
79,35,0.7457142857142858,0.6401680672268907,0.19999999999999996
21,34,0.763235294117647,0.6624777183600713,0.30000000000000004
66,34,0.7088235294117646,0.6221033868092691,0.30000000000000004
67,34,0.7558823529411764,0.6475935828877005,0.19999999999999996
34,33,0.6984848484848485,0.6039772727272726,0.15000000000000002
45,32,0.6859375,0.5924395161290323,0.15000000000000002
93,32,0.66875,0.5838709677419355,0.15000000000000002
83,31,0.7177419354838709,0.616989247311828,0.25
18,30,0.77,0.66183908045977,0.35
23,30,0.6983333333333333,0.6031034482758622,0.25
31,30,0.8216666666666667,0.726551724137931,0.19999999999999996
41,30,0.6883333333333335,0.5971264367816091,0.15000000000000002
56,30,0.86,0.7797701149425287,0.15000000000000002
58,30,0.8283333333333334,0.7382758620689654,0.19999999999999996
71,30,0.6433333333333334,0.5606896551724138,0.15000000000000002
73,30,0.7833333333333333,0.6733333333333332,0.19999999999999996
74,30,0.6883333333333334,0.5842528735632184,0.15000000000000002
78,30,0.6916666666666667,0.5985057471264368,0.15000000000000002
89,30,0.7083333333333333,0.6136781609195403,0.25
90,30,0.7733333333333333,0.6606896551724137,0.19999999999999996
