community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
11,100,0.862,0.7765829725829727,0.5714285714285714
13,100,0.9094285714285715,0.8455353535353537,0.6571428571428571
14,100,0.8682857142857143,0.7924559884559885,0.6
16,100,0.8434285714285714,0.7481443001443001,0.5428571428571429
25,100,0.8468571428571429,0.7614487734487735,0.5142857142857142
46,100,0.8771428571428572,0.8079422799422801,0.5714285714285714
50,100,0.8777142857142858,0.7996248196248198,0.5714285714285714
54,100,0.8497142857142858,0.7548744588744588,0.5142857142857142
56,100,0.882,0.8053564213564215,0.6
59,100,0.8705714285714286,0.7902164502164503,0.5714285714285714
68,100,0.8862857142857143,0.8078095238095239,0.5714285714285714
86,100,0.8731428571428572,0.7932813852813853,0.5714285714285714
91,100,0.9151428571428571,0.8520750360750364,0.6571428571428571
2,99,0.8415584415584416,0.7503018523426688,0.5142857142857142
4,99,0.8692640692640693,0.7884500986541804,0.5714285714285714
8,99,0.8733044733044734,0.7947698559943458,0.5714285714285714
29,99,0.868975468975469,0.7936390140471775,0.6
17,98,0.8559766763848397,0.7703946379730097,0.5714285714285714
26,98,0.8437317784256559,0.7520543416188272,0.48571428571428577
53,98,0.8623906705539359,0.7792311622734515,0.5428571428571429
1,96,0.8553571428571428,0.7725000000000001,0.5142857142857142
7,96,0.8279761904761905,0.7346052631578947,0.4571428571428572
87,94,0.8957446808510638,0.8221917181423017,0.6571428571428571
58,93,0.8725038402457758,0.8027916917117479,0.5714285714285714
3,90,0.8314285714285714,0.7420795434278581,0.5428571428571429
20,90,0.8377777777777777,0.7451186017478152,0.5142857142857142
28,88,0.8616883116883117,0.7764741006120318,0.5714285714285714
15,87,0.825944170771757,0.7388780692710124,0.48571428571428577
82,86,0.8607973421926911,0.7777525894078562,0.5428571428571429
83,85,0.8278991596638656,0.7291156462585033,0.48571428571428577
44,84,0.8408163265306123,0.748405868371445,0.5142857142857142
6,79,0.8155515370705245,0.7250614364538416,0.48571428571428577
43,79,0.8506329113924052,0.7708628923818799,0.5428571428571429
90,79,0.8542495479204341,0.7725970232299346,0.5428571428571429
55,73,0.8375733855185911,0.7477060230484888,0.48571428571428577
21,72,0.8408730158730159,0.7520456069751845,0.5714285714285714
19,71,0.8414486921529176,0.7490428283989652,0.5428571428571429
23,70,0.8502040816326532,0.7682697426796806,0.5714285714285714
52,70,0.8330612244897959,0.7383496007098492,0.5428571428571429
47,69,0.8530020703933748,0.7742175130921934,0.5428571428571429
93,68,0.8785714285714286,0.7981939044274425,0.6
35,67,0.8626865671641791,0.7807973121405958,0.5428571428571429
24,64,0.834375,0.751077097505669,0.5428571428571429
51,64,0.8607142857142858,0.782780612244898,0.5428571428571429
57,64,0.84375,0.752905328798186,0.5714285714285714
80,64,0.8607142857142858,0.7746031746031746,0.6
64,62,0.8525345622119815,0.7730754702727206,0.5428571428571429
77,62,0.8502304147465438,0.765173377653547,0.5714285714285714
22,59,0.8314769975786925,0.7443600233781413,0.4571428571428572
62,59,0.8571428571428572,0.7723970944309928,0.6
32,57,0.8566416040100251,0.77468671679198,0.5714285714285714
71,56,0.8678571428571429,0.7881632653061226,0.6285714285714286
33,55,0.8581818181818182,0.7735642135642137,0.5142857142857142
66,55,0.850909090909091,0.7629244829244829,0.5142857142857142
81,55,0.8576623376623376,0.7694083694083694,0.5142857142857142
5,54,0.8021164021164022,0.7104322651492463,0.5142857142857142
30,54,0.7936507936507937,0.6852949985025457,0.4571428571428572
39,54,0.8465608465608465,0.7642008585404811,0.48571428571428577
74,54,0.8470899470899471,0.7601277827692922,0.5714285714285714
9,53,0.8242587601078167,0.7346879535558781,0.5142857142857142
48,53,0.8318059299191375,0.7371967654986523,0.5142857142857142
85,53,0.8722371967654987,0.7994194484760522,0.6285714285714286
0,50,0.8182857142857143,0.7186472303206998,0.48571428571428577
61,50,0.8131428571428572,0.7134927113702624,0.5142857142857142
67,50,0.8302857142857143,0.7325247813411079,0.4571428571428572
94,50,0.8611428571428571,0.7774227405247813,0.6
70,49,0.8612244897959184,0.7765549076773567,0.5142857142857142
72,49,0.8862973760932945,0.8135082604470358,0.6
31,48,0.8363095238095238,0.7452634245187436,0.5428571428571429
10,47,0.8346504559270517,0.7486454341218448,0.5428571428571429
18,47,0.8066869300911854,0.7155808114179992,0.4571428571428572
88,47,0.8644376899696049,0.7876569314127131,0.5714285714285714
34,44,0.8272727272727273,0.7370280881908788,0.5428571428571429
