,caseid,community,match_rate
246,1237074709,3,0.9
247,1236165993,13,1.0
248,1238241517,5,1.0
249,1237067281,11,1.0
250,1237493497,2,1.0
251,1239705275,10,0.8
252,1241018803,12,1.0
253,1236679123,8,0.9
254,1240252045,7,0.9
255,1232197149,3,1.0
256,1243820059,2,1.0
257,1240539167,14,1.0
258,1236811057,12,1.0
259,1237813149,8,1.0
260,1239685285,8,1.0
261,1232536265,8,1.0
262,1242598983,14,1.0
263,1237495517,3,1.0
264,1245367809,6,1.0
265,1240763481,12,1.0
266,1247686159,10,1.0
267,1243513805,8,1.0
268,1242525199,12,1.0
269,1247682881,9,0.9
270,1255831619,4,1.0
271,1232743815,3,1.0
272,1238611247,13,0.9
273,1235323739,2,1.0
274,1242526459,12,1.0
275,1239000557,10,1.0
276,1235539675,10,1.0
277,1240811077,7,1.0
278,1238972955,9,1.0
279,1244814925,5,1.0
280,1237846163,11,1.0
281,1240241581,4,1.0
282,1237169877,13,1.0
283,1242617657,0,1.0
284,1242413267,12,1.0
285,1240401523,14,1.0
286,1236923213,8,1.0
287,1244493869,1,1.0
288,1235722927,9,0.9
289,1236892307,9,1.0
290,1238800699,10,0.9
291,1235849913,2,1.0
292,1239165049,13,0.9
293,1236840441,2,1.0
294,1244563177,9,1.0
295,1239036913,12,0.9
296,1238073435,9,1.0
297,1239077715,0,0.8
298,1245920757,13,
299,1241043701,14,1.0
300,1235691037,8,1.0
301,1244060775,6,1.0
302,1232799101,10,1.0
303,1232683805,0,0.8
304,1236870167,7,1.0
305,1237600429,7,1.0
306,1241066287,6,1.0
307,1237403535,13,1.0
308,1238295283,8,1.0
309,1237119443,6,1.0
310,1242479007,12,0.9
311,1237597469,9,0.9
312,1236958455,7,0.9
313,1241153275,10,1.0
314,1239143897,15,1.0
315,1238877869,1,1.0
316,1239115165,7,1.0
317,1239464547,1,1.0
318,1240459483,10,1.0
319,1239020385,6,1.0
320,1238774715,12,1.0
321,1255887477,2,1.0
322,1243710695,13,
323,1249973011,11,1.0
324,1242455493,3,1.0
325,1237858473,7,0.9
326,1240294847,15,0.9
327,1242821167,9,1.0
328,1243709777,11,1.0
329,1240349907,4,0.9
330,1234990771,8,1.0
331,1241070239,13,1.0
332,1246543969,1,0.9
333,1242897135,3,1.0
334,1236886133,0,0.8
335,1232539525,1,1.0
336,1243714203,0,0.9
337,1240430373,13,0.9
338,1242477833,2,1.0
339,1243022369,4,1.0
340,1240144791,3,1.0
341,1240251757,10,1.0
342,1235735201,6,1.0
343,1240327337,12,1.0
344,1240762975,13,1.0
345,1239496509,15,1.0
346,1237560141,11,1.0
347,1239294257,7,1.0
348,1249716329,5,1.0
349,1239629245,3,1.0
350,1238868107,3,1.0
351,1236952701,11,1.0
352,1236717895,8,1.0
353,1245200373,2,1.0
354,1232857837,10,0.9
355,1238676871,3,1.0
356,1240208041,7,0.9
357,1243819503,7,1.0
358,1238706499,15,1.0
359,1237954891,10,1.0
360,1237292619,6,1.0
361,1240468445,1,0.9
362,1237742547,2,1.0
363,1241042507,11,0.9
364,1251663779,15,1.0
365,1238335231,11,1.0
366,1242752589,5,0.9
367,1235358987,12,1.0
368,1239685971,13,1.0
369,1236091411,13,1.0
370,1239798457,13,1.0
371,1238342135,10,1.0
372,1240324399,4,0.9
373,1236708901,8,1.0
374,1243583467,9,1.0
375,1236586217,8,1.0
376,1241618821,14,1.0
377,1239360109,3,1.0
378,1238204705,12,1.0
379,1237074621,6,1.0
380,1242041151,5,1.0
381,1232933559,5,1.0
382,1236881073,0,1.0
383,1249920589,3,
